15,1,0.154296
18,1,0.156872
12,1,0.166400
21,1,0.171033
3,1,0.211439
17,1,0.253294
19,1,0.351648
22,2,0.603108
7,2,0.763228
18,3,0.086164
26,3,0.099661
15,3,0.134215
19,3,0.140210
17,3,0.202636
27,3,0.734234
7,6,0.229287
24,7,0.126236
9,7,0.361989
17,7,0.376574
15,7,0.457624
25,7,0.764435
17,9,0.688255
15,9,0.786351
18,9,0.798749
27,11,0.132263
29,11,0.281062
18,11,0.684329
15,11,0.725885
21,12,0.005124
18,12,0.106852
15,12,0.152536
19,12,0.199007
17,12,0.245747
18,15,0.049255
17,15,0.106552
21,15,0.153216
19,15,0.252121
26,17,0.119822
18,17,0.140317
20,17,0.206551
21,17,0.245028
21,18,0.106832
19,18,0.213037
21,19,0.193912
29,19,0.731611
27,20,0.723087
25,22,0.602862
30,29,0.506118
