1,-0.500000,-0.500000,1.414214
2,0.200314,-0.489681,1.034060
3,-0.333860,-0.369219,1.204518
4,-0.109495,-0.460258,1.137357
5,0.043086,-0.007335,0.682759
6,-0.300715,0.309003,0.823179
7,-0.307799,0.079826,0.910541
8,0.122682,0.464540,0.378981
9,-0.387292,0.432979,0.889820
10,0.328241,0.312977,0.253927
11,0.241328,-0.188895,0.735858
12,-0.344493,-0.440784,1.264216
13,0.043347,0.046739,0.643411
14,-0.303431,-0.216189,1.076302
15,-0.466597,-0.349363,1.286751
16,-0.359924,-0.181010,1.096925
17,-0.495299,-0.246749,1.244289
18,-0.419925,-0.365104,1.262801
19,-0.223407,-0.282854,1.065916
20,-0.360054,-0.090633,1.043331
21,-0.340967,-0.437066,1.259094
22,-0.144078,0.005428,0.812058
23,0.220649,0.233506,0.386077
24,-0.365537,-0.032432,1.016188
25,0.210168,-0.482376,1.024239
26,-0.380523,-0.281157,1.177085
27,0.361724,-0.134138,0.649038
28,0.012839,0.101367,0.629471
29,0.452947,-0.003926,0.506118
30,0.500000,0.500000,0.000000
